Frame	Time	Scene info	Scene info:narrative details - external	Scene info:narrative details - internal	Scene info:characters on screen	Scene info:Music Presence	speech	speech:transcription	speech:character speaking	setting	setting:indoor/outdoor	setting:setting	Scene name	Scene name:scene name	
5975	239.00000000000003	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
5976	239.04000000000002	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
5977	239.08	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
5978	239.12	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
5979	239.16000000000003	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
5980	239.20000000000002	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
5981	239.24	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
5982	239.28	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
5983	239.32000000000002	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
5984	239.36	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
5985	239.4	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
5986	239.44000000000003	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
5987	239.48000000000002	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
5988	239.52	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
5989	239.56	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
5990	239.60000000000002	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
5991	239.64000000000001	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
5992	239.68	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
5993	239.72000000000003	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
5994	239.76000000000002	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
5995	239.8	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
5996	239.84	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
5997	239.88000000000002	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
5998	239.92000000000002	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
5999	239.96	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6000	240.00000000000003	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6001	240.04000000000002	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6002	240.08	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6003	240.12	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6004	240.16000000000003	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6005	240.20000000000002	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6006	240.24	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6007	240.28	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6008	240.32000000000002	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6009	240.36	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6010	240.4	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6011	240.44000000000003	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6012	240.48000000000002	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6013	240.52	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6014	240.56	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6015	240.60000000000002	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6016	240.64000000000001	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6017	240.68	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6018	240.72000000000003	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6019	240.76000000000002	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6020	240.8	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6021	240.84	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6022	240.88000000000002	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6023	240.92000000000002	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6024	240.96	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6025	241.00000000000003	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6026	241.04000000000002	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6027	241.08	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6028	241.12	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6029	241.16000000000003	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6030	241.20000000000002	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6031	241.24	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6032	241.28	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6033	241.32000000000002	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6034	241.36	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6035	241.4	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6036	241.44000000000003	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6037	241.48000000000002	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6038	241.52	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6039	241.56	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6040	241.60000000000002	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6041	241.64000000000001	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6042	241.68	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6043	241.72000000000003	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6044	241.76000000000002	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6045	241.8	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6046	241.84	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6047	241.88000000000002	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6048	241.92000000000002	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6049	241.96	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6050	242.00000000000003	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6051	242.04000000000002	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6052	242.08	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6053	242.12	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6054	242.16000000000003	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6055	242.20000000000002	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6056	242.24	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6057	242.28	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6058	242.32000000000002	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6059	242.36	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6060	242.4	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6061	242.44000000000003	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6062	242.48000000000002	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6063	242.52	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6064	242.56	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6065	242.60000000000002	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6066	242.64000000000001	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6067	242.68	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6068	242.72000000000003	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6069	242.76000000000002	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6070	242.8	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6071	242.84	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6072	242.88000000000002	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6073	242.92000000000002	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6074	242.96	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6075	243.00000000000003	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6076	243.04000000000002	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6077	243.08	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6078	243.12	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6079	243.16000000000003	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6080	243.20000000000002	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6081	243.24	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6082	243.28	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6083	243.32000000000002	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6084	243.36	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6085	243.4	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6086	243.44000000000003	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6087	243.48000000000002	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6088	243.52	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6089	243.56	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6090	243.60000000000002	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6091	243.64000000000001	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6092	243.68	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6093	243.72000000000003	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6094	243.76000000000002	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6095	243.8	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6096	243.84	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6097	243.88000000000002	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6098	243.92000000000002	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6099	243.96	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6100	244.00000000000003	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6101	244.04000000000002	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6102	244.08	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6103	244.12	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6104	244.16000000000003	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6105	244.20000000000002	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6106	244.24	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6107	244.28	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6108	244.32000000000002	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6109	244.36	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6110	244.4	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6111	244.44000000000003	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6112	244.48000000000002	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6113	244.52	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6114	244.56	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6115	244.60000000000002	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6116	244.64000000000001	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6117	244.68	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6118	244.72000000000003	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6119	244.76000000000002	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6120	244.8	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6121	244.84	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6122	244.88000000000002	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6123	244.92000000000002	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6124	244.96	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6125	245.00000000000003	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6126	245.04000000000002	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6127	245.08	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6128	245.12	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6129	245.16000000000003	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6130	245.20000000000002	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
6131	245.24	1	Earn and van laugh and kiss on the bed	Van relaxes	Van, Earn	1	1	"I love that" "You're so stupid"	Earn, Van	1	1	Bedroom	1	Earn's Dream	
